5.000000000000000000e+02 7.811823605931675907e-01
5.000250006250156503e+02 7.765806108543528152e-01
5.000500012500312437e+02 7.723194022090754673e-01
5.000750018750468939e+02 7.683104048020441557e-01
5.001000025000624873e+02 7.644183430610826946e-01
5.001250031250781376e+02 7.604952953020990281e-01
5.001500037500937310e+02 7.564141949008367227e-01
5.001750043751093813e+02 7.520906824988982109e-01
5.002000050001250315e+02 7.474848172970011140e-01
5.002250056251406249e+02 7.425791380478001802e-01
5.002500062501562752e+02 7.373360937919860580e-01
5.002750068751718686e+02 7.316443691985144993e-01
5.003000075001875189e+02 7.252684125287736094e-01
5.003250081252031123e+02 7.178171366378338636e-01
5.003500087502187625e+02 7.087455766092622955e-01
5.003750093752343560e+02 6.973974186838570732e-01
5.004000100002500062e+02 6.830878403600444404e-01
5.004250106252656565e+02 6.652167964168053116e-01
5.004500112502812499e+02 6.433948348131767192e-01
5.004750118752969001e+02 6.175586434159091587e-01
5.005000125003124936e+02 5.880530995597207378e-01
5.005250131253281438e+02 5.556609582807651160e-01
5.005500137503437372e+02 5.215697582748185512e-01
5.005750143753593875e+02 4.872764212156033281e-01
5.006000150003750377e+02 4.544411844177800863e-01
5.006250156253906312e+02 4.247116774787978444e-01
5.006500162504062814e+02 3.995432934307601158e-01
5.006750168754218748e+02 3.800425004464765277e-01
5.007000175004375251e+02 3.668554066080677578e-01
5.007250181254531185e+02 3.601157396030496005e-01
5.007500187504687688e+02 3.594561873553976383e-01
5.007750193754843622e+02 3.640768425266064923e-01
5.008000200005000124e+02 3.728562395058169221e-01
5.008250206255156627e+02 3.844855507684934448e-01
5.008500212505312561e+02 3.976054936302331755e-01
5.008750218755469064e+02 4.109280972029564216e-01
5.009000225005624998e+02 4.233306871726311704e-01
5.009250231255781500e+02 4.339158469819120456e-01
5.009500237505937434e+02 4.420372541724315596e-01
5.009750243756093937e+02 4.472960208396934978e-01
5.010000250006250440e+02 4.495148727135163114e-01
5.010250256256406374e+02 4.486981698756203896e-01
5.010500262506562876e+02 4.449848959286620276e-01
5.010750268756718810e+02 4.386000970129546594e-01
5.011000275006875313e+02 4.298086219867928714e-01
5.011250281257031247e+02 4.188739492730449432e-01
5.011500287507187750e+02 4.060245508553014804e-01
5.011750293757343684e+02 3.914304120026268485e-01
5.012000300007500186e+02 3.751924941251426060e-01
5.012250306257656689e+02 3.573475293237643458e-01
5.012500312507812623e+02 3.378891648691134675e-01
5.012750318757969126e+02 3.168040742607673432e-01
5.013000325008125060e+02 2.941185741209921267e-01
5.013250331258281562e+02 2.699482410714937330e-01
5.013500337508437497e+02 2.445408884515873904e-01
5.013750343758593999e+02 2.183028357682659515e-01
5.014000350008750502e+02 1.918001473431036885e-01
5.014250356258906436e+02 1.657303838418575093e-01
5.014500362509062938e+02 1.408657966211670498e-01
5.014750368759218873e+02 1.179747399486767850e-01
5.015000375009375375e+02 9.773309658342597961e-02
